#Data Set Export - Total Storage.Web-Daily-tcm@08461200,
Timestamp (UTC-06:00),Value (m^3)
2026-05-13 00:00:00,484087881.96182305
2026-05-14 00:00:00,484268534.0901419
2026-05-15 00:00:00,483618947.1274681
2026-05-16 00:00:00,481654199.9999994
2026-05-17 00:00:00,478860800.0000003
2026-05-18 00:00:00,476266000
2026-05-19 00:00:00,473883921.96137
2026-05-20 00:00:00,473697619.0120089
2026-05-21 00:00:00,475407238.4753487
2026-05-22 00:00:00,483402508.8785912
2026-05-23 00:00:00,490300310.1639252
2026-05-24 00:00:00,503884623.45306695
2026-05-25 00:00:00,507360439.69434005
2026-05-26 00:00:00,510618855.93561506
2026-05-27 00:00:00,512699844.15205866
2026-05-28 00:00:00,516694466.92288077
2026-05-29 00:00:00,526529376.6082324
2026-05-30 00:00:00,533111600.0000003
2026-05-31 00:00:00,539385000.0000006
2026-06-01 00:00:00,544793200.0000004
2026-06-02 00:00:00,547497199.999999
2026-06-03 00:00:00,548794599.9999994
2026-06-04 00:00:00,549876600.0000004
2026-06-05 00:00:00,550093000
2026-06-06 00:00:00,550634000
2026-06-07 00:00:00,552039599.9999994
2026-06-08 00:00:00,555234200.0000004
2026-06-09 00:00:00,557544963.8001186
2026-06-10 00:00:00,559053805.5831404
2026-06-11 00:00:00,560552547.4980489
2026-06-12 00:00:00,561324948.2134632
2026-06-13 00:00:00,561864958.4014623
2026-06-14 00:00:00,562984663.8531708
2026-06-15 00:00:00,564221369.3048784
2026-06-16 00:00:00,568243074.7565835
2026-06-17 00:00:00,582941780.208292
2026-06-18 00:00:00,600891364.0835514
2026-06-19 00:00:00,616978000
2026-06-20 00:00:00,625589000
2026-06-21 00:00:00,632971000
2026-06-22 00:00:00,637645000.0000004
2026-06-23 00:00:00,640475000.0000004
2026-06-24 00:00:00,643057999.9999996
2026-06-25 00:00:00,645888000
2026-06-26 00:00:00,647733000
2026-06-27 00:00:00,648470999.9999989
2026-06-28 00:00:00,648839999.9999993
2026-06-29 00:00:00,648839999.9999993
"Data are being provided with the understanding they are provisional and subject to future revision. Provisional data may be inaccurate due to instrument malfunctions or physical changes at the measurement site. Subsequent review based on field inspections and measurements may result in significant revisions to the data. Not all datasets have received subsequent review and approval, and thus may contain errors. Data users are cautioned to consider carefully the provisional nature of the information before using it for decisions that concern personal or public safety or the conduct of business that involves substantial monetary or operational consequences. USIBWC does not warrant that these data are accurate or appropriate for any particular use case and advises that they may contain error as they are provisional in nature. USIBWC is not liable for the accuracy of these data or the use of these data for any purpose. Additional information regarding these datasets can be obtained from the USIBWC. For additional information, please contact the USIBWC Water Accounting Division.",
